age,sport,training_days,matches_30_days,rest_days,previous_injury,training_intensity,injury_risk_score,risk_level
21,Tennis,5,1,3,No,Low,34,MEDIUM
39,Soccer,5,9,4,No,Medium,53,MEDIUM
25,Running,1,9,1,No,Low,66,HIGH
21,Running,5,0,4,Yes,Medium,59,MEDIUM
35,Running,7,2,3,No,Low,58,MEDIUM
18,Cricket,6,13,5,No,Medium,59,MEDIUM
39,Soccer,5,6,3,No,Medium,71,HIGH
18,Tennis,2,3,1,No,Medium,38,MEDIUM
14,Running,5,3,1,No,Medium,61,MEDIUM
31,Basketball,4,0,0,Yes,High,94,HIGH
25,Basketball,1,0,1,No,Low,40,MEDIUM
32,Soccer,3,6,0,No,Medium,56,MEDIUM
23,Soccer,6,1,2,No,Low,56,MEDIUM
37,Tennis,1,4,4,No,Low,46,MEDIUM
22,Basketball,1,2,3,No,High,47,MEDIUM
18,Tennis,1,6,4,Yes,Low,47,MEDIUM
30,Cricket,6,3,0,No,High,82,HIGH
33,Basketball,2,4,4,No,Medium,45,MEDIUM
40,Running,4,4,0,No,High,89,HIGH
28,Tennis,1,9,1,No,Low,59,MEDIUM
20,Weightlifting,5,7,1,No,High,73,HIGH
19,Basketball,5,0,5,Yes,High,59,MEDIUM
38,Running,4,3,5,No,Medium,54,MEDIUM
23,Soccer,3,6,5,No,Low,27,LOW
39,Tennis,4,7,4,Yes,Medium,66,HIGH
38,Tennis,1,8,0,No,High,80,HIGH
25,Running,5,12,4,No,High,61,MEDIUM
32,Tennis,1,1,0,No,Low,50,MEDIUM
14,Running,6,5,2,Yes,Low,81,HIGH
34,Soccer,4,3,1,No,Low,64,MEDIUM
18,Cricket,4,10,5,No,Low,57,MEDIUM
29,Running,5,13,2,Yes,High,80,HIGH
18,Cricket,2,9,5,Yes,Low,56,MEDIUM
14,Soccer,7,0,2,No,Medium,59,MEDIUM
35,Basketball,3,0,4,No,Low,34,MEDIUM
18,Running,6,2,4,No,Medium,46,MEDIUM
23,Soccer,3,0,4,No,Low,24,LOW
14,Cricket,2,11,1,No,Medium,68,HIGH
16,Basketball,2,11,0,No,Medium,66,HIGH
29,Running,5,13,1,Yes,High,100,HIGH
15,Weightlifting,2,1,1,No,Medium,50,MEDIUM
19,Cricket,7,11,5,No,High,74,HIGH
18,Running,4,9,0,No,Low,69,HIGH
34,Soccer,5,13,2,No,Medium,70,HIGH
28,Cricket,7,6,2,No,Medium,61,MEDIUM
16,Basketball,3,12,1,No,Low,57,MEDIUM
34,Running,2,11,1,No,Low,65,MEDIUM
39,Weightlifting,2,0,5,No,Medium,32,MEDIUM
39,Cricket,7,8,5,No,High,83,HIGH
30,Basketball,5,3,5,No,High,51,MEDIUM
27,Soccer,5,9,5,No,Low,54,MEDIUM
24,Tennis,5,1,1,No,Medium,58,MEDIUM
38,Running,4,9,0,Yes,Low,86,HIGH
26,Tennis,1,3,1,Yes,Medium,65,MEDIUM
28,Tennis,7,5,1,No,Medium,63,MEDIUM
18,Weightlifting,4,9,1,No,Medium,79,HIGH
19,Running,1,0,4,No,Low,20,LOW
24,Weightlifting,6,13,0,No,Medium,81,HIGH
21,Running,4,7,5,No,High,55,MEDIUM
30,Weightlifting,6,2,5,Yes,Medium,77,HIGH
21,Soccer,3,12,3,No,High,55,MEDIUM
33,Cricket,4,0,1,Yes,Low,80,HIGH
24,Tennis,5,10,2,No,Medium,58,MEDIUM
18,Cricket,1,8,2,No,Medium,55,MEDIUM
16,Weightlifting,7,0,4,Yes,High,80,HIGH
22,Soccer,4,2,2,Yes,Medium,61,MEDIUM
21,Basketball,1,4,5,Yes,High,60,MEDIUM
27,Soccer,6,3,0,Yes,Medium,81,HIGH
21,Weightlifting,3,12,5,No,Medium,36,MEDIUM
28,Soccer,6,4,2,No,Medium,69,HIGH
16,Basketball,2,3,4,No,Medium,38,MEDIUM
40,Cricket,6,3,5,No,Medium,61,MEDIUM
23,Cricket,6,5,4,No,High,61,MEDIUM
21,Running,5,3,3,Yes,Low,55,MEDIUM
32,Basketball,4,3,1,No,Medium,57,MEDIUM
28,Soccer,6,10,3,Yes,Low,93,HIGH
31,Cricket,1,7,3,No,Low,43,MEDIUM
22,Weightlifting,3,12,5,Yes,High,77,HIGH
36,Cricket,6,4,4,No,Low,56,MEDIUM
35,Basketball,7,4,0,Yes,Low,100,HIGH
38,Running,2,8,2,No,Medium,59,MEDIUM
31,Basketball,2,10,0,No,Low,70,HIGH
40,Basketball,6,7,0,No,Medium,82,HIGH
24,Weightlifting,2,11,1,No,Low,62,MEDIUM
33,Cricket,1,3,5,Yes,Medium,51,MEDIUM
26,Weightlifting,7,2,2,Yes,Medium,71,HIGH
30,Running,5,13,2,No,High,84,HIGH
30,Soccer,6,5,2,No,Low,54,MEDIUM
36,Basketball,2,9,2,No,Medium,66,HIGH
14,Cricket,7,2,2,No,Medium,66,HIGH
38,Running,3,2,0,No,Medium,61,MEDIUM
29,Tennis,4,4,5,No,Low,43,MEDIUM
29,Soccer,7,9,0,No,Low,79,HIGH
31,Soccer,1,4,3,No,High,53,MEDIUM
16,Tennis,4,4,4,No,Medium,41,MEDIUM
33,Soccer,6,11,0,Yes,Medium,100,HIGH
27,Cricket,2,2,0,No,Medium,39,MEDIUM
35,Weightlifting,3,13,3,No,High,72,HIGH
15,Running,3,5,1,No,High,62,MEDIUM
18,Cricket,6,9,3,No,Low,66,HIGH
34,Basketball,1,5,2,No,Medium,48,MEDIUM
26,Cricket,2,4,3,Yes,Medium,64,MEDIUM
15,Tennis,6,10,0,No,Medium,82,HIGH
21,Basketball,4,0,2,No,Medium,40,MEDIUM
15,Weightlifting,6,4,0,No,Medium,81,HIGH
30,Weightlifting,3,12,2,No,High,67,HIGH
34,Cricket,1,7,0,No,Medium,57,MEDIUM
16,Basketball,2,4,3,No,Low,56,MEDIUM
15,Tennis,3,4,3,Yes,High,76,HIGH
30,Tennis,6,7,2,Yes,High,100,HIGH
36,Running,6,5,0,Yes,Medium,99,HIGH
39,Soccer,7,0,1,No,High,82,HIGH
27,Running,7,8,2,Yes,High,97,HIGH
33,Basketball,2,10,1,No,Medium,75,HIGH
37,Basketball,4,11,4,No,Medium,70,HIGH
25,Cricket,4,12,5,No,Medium,49,MEDIUM
29,Running,2,11,5,No,Medium,42,MEDIUM
16,Basketball,7,13,3,No,Low,67,HIGH
34,Tennis,1,7,3,Yes,High,68,HIGH
18,Cricket,6,0,2,No,Low,42,MEDIUM
31,Tennis,2,13,4,No,Low,46,MEDIUM
30,Cricket,4,11,2,Yes,High,96,HIGH
24,Tennis,6,6,5,No,High,62,MEDIUM
35,Running,3,12,5,No,Low,44,MEDIUM
39,Cricket,1,9,2,Yes,High,78,HIGH
22,Basketball,4,9,0,No,Medium,76,HIGH
31,Soccer,6,0,2,Yes,Low,79,HIGH
22,Tennis,6,4,1,No,Medium,66,HIGH
40,Tennis,5,8,2,Yes,High,97,HIGH
18,Basketball,3,1,3,No,Low,38,MEDIUM
18,Soccer,2,5,4,No,Medium,19,LOW
32,Soccer,3,7,1,No,High,65,MEDIUM
14,Weightlifting,3,7,3,Yes,High,79,HIGH
38,Running,2,3,2,Yes,Low,60,MEDIUM
24,Running,2,8,2,Yes,Low,63,MEDIUM
20,Soccer,4,1,5,Yes,Low,55,MEDIUM
15,Running,6,10,0,No,Low,80,HIGH
32,Weightlifting,7,9,0,Yes,Medium,100,HIGH
28,Weightlifting,5,12,5,Yes,Medium,73,HIGH
30,Tennis,6,0,1,No,Low,66,HIGH
37,Basketball,2,1,5,Yes,High,60,MEDIUM
25,Running,3,0,5,No,High,37,MEDIUM
24,Soccer,7,9,1,No,High,82,HIGH
20,Running,5,10,3,Yes,High,77,HIGH
33,Weightlifting,3,10,2,Yes,Low,78,HIGH
29,Running,3,3,5,Yes,Medium,46,MEDIUM
40,Cricket,2,11,5,No,Low,47,MEDIUM
25,Soccer,7,11,2,Yes,Low,84,HIGH
30,Running,5,7,2,Yes,High,83,HIGH
34,Tennis,2,2,3,Yes,Medium,63,MEDIUM
27,Cricket,6,11,3,No,Low,63,MEDIUM
35,Running,5,1,2,Yes,Low,67,HIGH
34,Soccer,6,1,5,Yes,Medium,81,HIGH
19,Cricket,3,5,2,No,Low,42,MEDIUM
38,Weightlifting,7,5,5,No,Medium,66,HIGH
22,Running,6,0,4,No,Medium,45,MEDIUM
15,Weightlifting,7,9,5,No,High,77,HIGH
21,Basketball,5,2,2,No,High,53,MEDIUM
20,Cricket,2,11,1,No,High,67,HIGH
24,Tennis,4,5,1,Yes,Medium,94,HIGH
22,Tennis,2,13,2,Yes,Medium,68,HIGH
32,Soccer,3,6,5,No,Low,50,MEDIUM
36,Running,7,2,3,No,Medium,65,MEDIUM
23,Basketball,3,12,4,No,Low,41,MEDIUM
20,Tennis,1,13,4,Yes,Medium,52,MEDIUM
25,Weightlifting,4,11,1,Yes,Medium,87,HIGH
17,Soccer,5,1,3,Yes,High,67,HIGH
32,Soccer,6,12,3,No,Medium,78,HIGH
34,Cricket,3,9,3,Yes,Low,74,HIGH
26,Cricket,6,5,3,No,Medium,62,MEDIUM
20,Cricket,4,1,5,No,Medium,43,MEDIUM
18,Cricket,4,7,3,Yes,Medium,70,HIGH
24,Soccer,3,5,5,No,Medium,32,MEDIUM
18,Tennis,3,11,0,No,Medium,64,MEDIUM
38,Basketball,5,4,3,No,High,72,HIGH
28,Weightlifting,4,10,4,No,High,69,HIGH
22,Running,4,9,4,No,Low,50,MEDIUM
25,Soccer,4,4,1,Yes,Low,73,HIGH
15,Cricket,2,12,0,No,Low,50,MEDIUM
19,Tennis,7,13,4,No,High,72,HIGH
36,Soccer,5,0,4,No,High,56,MEDIUM
36,Soccer,3,9,5,No,Medium,48,MEDIUM
21,Cricket,4,10,0,No,Medium,75,HIGH
34,Running,1,9,5,No,High,54,MEDIUM
19,Cricket,1,8,0,Yes,High,95,HIGH
17,Soccer,5,5,5,Yes,Medium,71,HIGH
15,Soccer,5,8,2,Yes,Medium,89,HIGH
34,Cricket,4,9,4,No,Medium,55,MEDIUM
14,Cricket,1,2,3,No,Medium,42,MEDIUM
15,Weightlifting,1,2,4,Yes,Medium,46,MEDIUM
19,Tennis,5,12,1,No,Low,58,MEDIUM
17,Basketball,7,5,5,No,High,69,HIGH
26,Running,7,10,4,Yes,Low,77,HIGH
15,Weightlifting,5,3,4,No,Medium,46,MEDIUM
28,Tennis,3,7,1,No,Medium,50,MEDIUM
38,Weightlifting,3,6,3,No,Medium,46,MEDIUM
20,Cricket,2,12,1,Yes,Medium,82,HIGH
28,Basketball,5,6,5,Yes,High,61,MEDIUM
22,Soccer,1,9,1,No,High,71,HIGH
40,Running,4,1,2,Yes,Medium,80,HIGH
38,Soccer,3,3,1,No,Medium,57,MEDIUM
15,Cricket,7,4,0,No,Medium,74,HIGH
16,Tennis,7,10,1,No,Medium,89,HIGH
31,Basketball,2,5,4,No,Medium,38,MEDIUM
20,Tennis,6,2,3,Yes,Medium,72,HIGH
21,Running,1,3,2,No,Medium,35,MEDIUM
19,Cricket,7,3,4,No,Low,39,MEDIUM
34,Weightlifting,2,2,5,No,Medium,41,MEDIUM
35,Weightlifting,2,6,3,No,Medium,52,MEDIUM
21,Weightlifting,4,9,3,Yes,Medium,90,HIGH
28,Cricket,7,9,5,No,High,70,HIGH
26,Tennis,3,7,5,Yes,High,62,MEDIUM
25,Cricket,1,13,4,No,Low,41,MEDIUM
34,Tennis,6,3,1,No,Low,70,HIGH
36,Soccer,5,1,0,No,High,62,MEDIUM
33,Weightlifting,7,9,3,Yes,Low,97,HIGH
35,Basketball,7,5,3,Yes,Low,84,HIGH
37,Soccer,6,13,5,No,Low,73,HIGH
27,Cricket,7,4,2,No,Medium,64,MEDIUM
23,Cricket,2,8,4,Yes,High,68,HIGH
27,Cricket,6,5,5,No,Medium,50,MEDIUM
34,Soccer,5,1,3,No,High,60,MEDIUM
25,Tennis,5,13,3,No,Low,50,MEDIUM
15,Tennis,7,2,2,No,Low,57,MEDIUM
38,Soccer,6,10,1,No,Medium,87,HIGH
29,Tennis,1,3,3,Yes,High,59,MEDIUM
20,Tennis,4,12,3,No,High,73,HIGH
16,Basketball,4,5,5,No,Medium,55,MEDIUM
18,Weightlifting,7,1,5,No,Low,49,MEDIUM
39,Running,1,12,4,Yes,Medium,67,HIGH
34,Soccer,5,12,3,No,Low,65,MEDIUM
36,Running,2,13,3,Yes,Low,85,HIGH
31,Basketball,1,12,3,Yes,Medium,81,HIGH
22,Cricket,2,11,4,No,High,47,MEDIUM
21,Running,4,10,1,No,Medium,74,HIGH
36,Running,3,4,3,No,Medium,51,MEDIUM
26,Cricket,7,10,0,No,Low,72,HIGH
27,Tennis,3,3,2,No,Low,37,MEDIUM
24,Soccer,5,4,5,Yes,Low,56,MEDIUM
29,Tennis,1,7,0,Yes,Medium,71,HIGH
16,Cricket,4,13,3,Yes,Medium,81,HIGH
31,Soccer,5,3,3,No,Low,50,MEDIUM
26,Running,7,11,1,No,Medium,77,HIGH
39,Cricket,2,5,3,No,Low,37,MEDIUM
32,Weightlifting,1,7,4,No,High,52,MEDIUM
26,Weightlifting,5,13,5,Yes,High,82,HIGH
25,Basketball,6,5,2,No,Medium,63,MEDIUM
34,Tennis,3,1,2,No,Medium,45,MEDIUM
35,Basketball,5,12,0,No,Low,86,HIGH
20,Tennis,7,8,4,No,Medium,67,HIGH
29,Cricket,4,4,2,Yes,Low,73,HIGH
24,Cricket,2,4,5,No,Low,28,LOW
22,Running,1,3,3,No,High,36,MEDIUM
32,Weightlifting,3,4,1,No,Medium,58,MEDIUM
33,Soccer,6,2,1,No,Medium,67,HIGH
38,Running,4,0,3,No,Medium,61,MEDIUM
18,Soccer,7,3,3,No,Medium,65,MEDIUM
32,Cricket,7,13,2,No,Medium,87,HIGH
39,Weightlifting,5,3,2,No,Low,47,MEDIUM
31,Tennis,1,10,3,Yes,High,75,HIGH
35,Running,1,0,5,No,High,42,MEDIUM
27,Tennis,3,6,0,Yes,Low,62,MEDIUM
33,Running,2,1,2,No,Low,37,MEDIUM
30,Basketball,5,2,4,No,High,58,MEDIUM
39,Basketball,5,12,4,No,Medium,64,MEDIUM
39,Tennis,6,6,1,Yes,High,100,HIGH
17,Weightlifting,1,5,5,No,Low,40,MEDIUM
17,Running,6,7,3,No,Low,70,HIGH
20,Basketball,7,11,5,No,Low,59,MEDIUM
26,Weightlifting,4,8,4,Yes,Low,76,HIGH
31,Soccer,3,8,4,No,Medium,56,MEDIUM
31,Basketball,4,7,4,No,Medium,54,MEDIUM
27,Cricket,5,9,4,No,Medium,55,MEDIUM
32,Basketball,1,4,3,No,Low,42,MEDIUM
31,Running,4,9,0,Yes,Medium,93,HIGH
15,Tennis,2,10,0,Yes,Medium,84,HIGH
15,Weightlifting,6,5,1,No,Low,72,HIGH
29,Basketball,5,6,5,No,High,65,MEDIUM
19,Tennis,3,9,2,No,High,55,MEDIUM
33,Soccer,7,3,5,Yes,Low,66,HIGH
21,Running,7,5,3,Yes,Low,79,HIGH
39,Cricket,7,1,0,No,Medium,73,HIGH
25,Cricket,2,3,2,No,Medium,33,MEDIUM
32,Running,3,10,3,No,Low,61,MEDIUM
22,Tennis,5,4,0,No,High,64,MEDIUM
33,Weightlifting,4,1,2,No,High,63,MEDIUM
24,Weightlifting,1,11,0,No,Medium,67,HIGH
18,Tennis,6,5,5,No,High,65,MEDIUM
25,Basketball,6,6,0,No,High,88,HIGH
17,Tennis,6,9,2,No,Low,78,HIGH
38,Basketball,1,3,0,Yes,Low,70,HIGH
22,Tennis,6,1,5,No,Medium,47,MEDIUM
24,Soccer,7,11,3,No,Low,68,HIGH
39,Running,4,7,1,No,Low,68,HIGH
33,Soccer,1,2,1,Yes,Medium,65,MEDIUM
18,Tennis,3,13,2,No,Low,53,MEDIUM
29,Soccer,2,2,3,No,Low,36,MEDIUM
28,Weightlifting,7,4,2,Yes,Medium,82,HIGH
33,Weightlifting,4,11,0,Yes,High,100,HIGH
14,Weightlifting,3,10,2,No,Medium,62,MEDIUM
19,Weightlifting,4,4,5,No,High,54,MEDIUM
38,Weightlifting,2,5,5,Yes,Low,54,MEDIUM
32,Basketball,2,2,0,Yes,High,86,HIGH
36,Cricket,4,2,3,No,Medium,64,MEDIUM
17,Cricket,6,8,0,No,Medium,77,HIGH
40,Weightlifting,6,8,3,No,High,92,HIGH
15,Cricket,5,13,5,Yes,Low,70,HIGH
30,Weightlifting,4,2,2,Yes,High,80,HIGH
34,Running,4,4,2,No,Medium,60,MEDIUM
16,Cricket,2,7,0,No,Medium,58,MEDIUM
21,Tennis,6,11,5,Yes,Medium,81,HIGH
21,Running,3,5,3,Yes,Medium,67,HIGH
36,Tennis,4,3,5,Yes,High,66,HIGH
40,Cricket,1,7,5,No,Low,34,MEDIUM
30,Running,4,5,1,Yes,Low,73,HIGH
26,Cricket,3,7,5,No,Low,23,LOW
37,Cricket,5,12,5,Yes,Low,76,HIGH
14,Soccer,7,4,4,No,Medium,62,MEDIUM
24,Weightlifting,6,8,0,Yes,Low,97,HIGH
40,Cricket,7,12,2,No,Medium,86,HIGH
27,Running,1,7,3,Yes,High,64,MEDIUM
29,Cricket,5,9,3,Yes,Low,79,HIGH
40,Weightlifting,7,13,4,Yes,Low,85,HIGH
17,Weightlifting,1,3,1,No,Medium,54,MEDIUM
21,Tennis,1,0,3,No,Medium,36,MEDIUM
22,Soccer,2,2,2,No,Medium,39,MEDIUM
32,Weightlifting,1,8,3,No,Medium,63,MEDIUM
16,Weightlifting,2,0,0,No,Low,55,MEDIUM
14,Running,7,9,4,No,Medium,75,HIGH
38,Weightlifting,4,4,5,Yes,Medium,69,HIGH
26,Cricket,5,5,1,No,Low,54,MEDIUM
25,Cricket,7,6,2,No,Medium,53,MEDIUM
38,Weightlifting,4,11,0,No,Medium,84,HIGH
18,Cricket,1,3,2,No,Medium,30,LOW
16,Basketball,7,10,5,No,Low,65,MEDIUM
29,Tennis,4,5,0,No,Low,64,MEDIUM
31,Running,6,7,2,No,Low,67,HIGH
24,Basketball,2,2,1,No,Low,42,MEDIUM
34,Weightlifting,2,4,1,No,High,74,HIGH
17,Soccer,4,8,0,No,Medium,75,HIGH
33,Cricket,5,5,3,Yes,Medium,73,HIGH
34,Basketball,7,2,2,No,Low,61,MEDIUM
32,Soccer,1,4,5,No,Low,40,MEDIUM
14,Tennis,7,7,4,No,Medium,66,HIGH
24,Tennis,3,12,0,Yes,Medium,85,HIGH
32,Running,7,4,3,Yes,Medium,87,HIGH
35,Basketball,7,10,4,No,Medium,71,HIGH
35,Basketball,7,11,4,Yes,Low,86,HIGH
27,Soccer,4,5,0,Yes,Medium,84,HIGH
19,Soccer,4,5,2,No,High,60,MEDIUM
28,Basketball,3,8,2,No,High,60,MEDIUM
32,Tennis,7,12,2,No,Low,76,HIGH
33,Running,1,0,0,No,Low,44,MEDIUM
18,Running,7,13,4,Yes,Low,73,HIGH
35,Running,6,10,2,No,Low,71,HIGH
15,Cricket,3,7,5,Yes,Low,46,MEDIUM
32,Soccer,2,0,5,No,Medium,39,MEDIUM
18,Running,5,11,0,Yes,High,100,HIGH
15,Cricket,2,13,5,No,Medium,47,MEDIUM
16,Weightlifting,4,12,4,No,Low,52,MEDIUM
32,Basketball,6,1,0,No,High,82,HIGH
15,Soccer,5,7,3,Yes,Medium,77,HIGH
36,Weightlifting,6,6,2,No,Medium,74,HIGH
34,Running,5,2,4,No,High,60,MEDIUM
30,Weightlifting,2,9,3,No,Low,51,MEDIUM
27,Tennis,5,7,5,No,Low,44,MEDIUM
40,Soccer,4,6,5,Yes,High,75,HIGH
30,Cricket,7,0,1,Yes,Medium,96,HIGH
35,Weightlifting,1,6,1,No,Medium,64,MEDIUM
15,Tennis,4,3,1,Yes,Medium,72,HIGH
30,Weightlifting,4,2,4,No,Low,46,MEDIUM
38,Soccer,7,6,4,No,Medium,65,MEDIUM
14,Tennis,3,0,3,No,Low,36,MEDIUM
25,Running,2,0,4,No,Medium,27,LOW
22,Basketball,7,1,5,Yes,Low,61,MEDIUM
18,Running,4,1,0,No,Medium,58,MEDIUM
37,Weightlifting,1,3,4,Yes,Low,54,MEDIUM
17,Soccer,3,11,5,No,Medium,48,MEDIUM
21,Weightlifting,6,0,3,No,Low,58,MEDIUM
35,Soccer,5,11,4,No,Low,60,MEDIUM
19,Soccer,6,0,3,Yes,Low,65,MEDIUM
25,Weightlifting,4,7,4,No,High,60,MEDIUM
39,Weightlifting,1,3,3,No,Low,37,MEDIUM
28,Weightlifting,1,1,4,No,Low,25,LOW
34,Cricket,1,6,1,No,Medium,70,HIGH
34,Tennis,5,6,3,Yes,Low,84,HIGH
24,Cricket,7,8,4,No,Medium,63,MEDIUM
28,Tennis,7,11,1,No,High,80,HIGH
36,Running,4,1,2,Yes,Low,61,MEDIUM
25,Soccer,1,9,0,Yes,Medium,77,HIGH
24,Running,5,7,3,No,Medium,50,MEDIUM
33,Weightlifting,6,11,0,Yes,Medium,100,HIGH
31,Soccer,1,1,4,No,Low,31,MEDIUM
19,Basketball,2,12,1,No,Low,56,MEDIUM
19,Weightlifting,6,13,1,No,Low,90,HIGH
19,Running,4,12,2,No,Low,50,MEDIUM
24,Running,2,10,3,No,Low,47,MEDIUM
37,Basketball,2,13,0,No,Medium,83,HIGH
31,Basketball,7,6,5,No,High,75,HIGH
40,Running,2,0,2,No,High,49,MEDIUM
15,Running,2,7,5,No,Low,42,MEDIUM
40,Tennis,2,5,4,No,Low,44,MEDIUM
23,Tennis,5,11,3,No,Medium,58,MEDIUM
15,Basketball,6,4,2,No,Medium,64,MEDIUM
26,Running,2,3,0,No,High,53,MEDIUM
38,Running,7,0,2,No,High,75,HIGH
16,Basketball,1,6,2,No,Medium,40,MEDIUM
14,Soccer,1,9,1,Yes,Low,88,HIGH
23,Basketball,3,8,0,No,High,73,HIGH
22,Running,4,4,2,No,Medium,50,MEDIUM
25,Soccer,3,2,4,No,High,43,MEDIUM
23,Tennis,7,1,3,No,Low,48,MEDIUM
29,Basketball,7,13,3,No,Medium,77,HIGH
14,Basketball,7,7,2,Yes,Medium,86,HIGH
15,Running,2,3,2,No,Medium,40,MEDIUM
34,Weightlifting,1,8,4,No,Medium,57,MEDIUM
18,Cricket,2,7,5,No,Medium,33,MEDIUM
32,Tennis,7,8,4,Yes,Medium,85,HIGH
18,Cricket,3,2,5,No,Medium,31,MEDIUM
35,Running,1,10,1,No,Low,62,MEDIUM
22,Cricket,3,9,5,No,Medium,49,MEDIUM
34,Running,6,0,0,No,Low,65,MEDIUM
30,Cricket,7,7,1,No,Medium,86,HIGH
36,Soccer,7,12,5,No,Low,67,HIGH
22,Running,1,12,5,No,High,54,MEDIUM
25,Running,7,0,0,No,Low,65,MEDIUM
17,Soccer,1,2,2,Yes,Low,46,MEDIUM
40,Running,3,5,0,No,Medium,61,MEDIUM
34,Cricket,5,10,5,No,High,71,HIGH
38,Tennis,7,3,3,No,High,69,HIGH
32,Cricket,5,7,5,No,Medium,54,MEDIUM
34,Basketball,5,10,3,No,Medium,68,HIGH
38,Tennis,6,4,5,No,Medium,62,MEDIUM
35,Running,3,1,5,No,High,40,MEDIUM
26,Tennis,6,6,5,Yes,High,83,HIGH
22,Cricket,2,13,4,Yes,Low,56,MEDIUM
39,Running,4,13,0,Yes,Medium,89,HIGH
25,Basketball,3,9,1,No,Low,54,MEDIUM
37,Soccer,6,5,1,No,Low,75,HIGH
25,Basketball,4,2,1,No,Low,51,MEDIUM
16,Weightlifting,7,10,1,No,Medium,91,HIGH
40,Tennis,2,12,3,Yes,Low,85,HIGH
23,Running,7,10,5,Yes,Low,80,HIGH
38,Running,4,0,0,No,High,78,HIGH
22,Tennis,3,0,1,No,High,55,MEDIUM
29,Weightlifting,1,9,1,Yes,Medium,76,HIGH
33,Basketball,5,8,3,Yes,High,82,HIGH
32,Tennis,1,10,0,No,Medium,72,HIGH
26,Cricket,5,6,3,No,Low,45,MEDIUM
29,Soccer,3,12,1,Yes,Medium,76,HIGH
24,Soccer,6,6,1,Yes,Medium,83,HIGH
37,Weightlifting,3,9,5,Yes,Medium,71,HIGH
27,Basketball,6,9,0,Yes,Medium,93,HIGH
14,Weightlifting,5,8,1,Yes,Medium,97,HIGH
39,Basketball,3,11,5,No,Medium,56,MEDIUM
31,Soccer,7,5,2,No,Low,68,HIGH
35,Running,3,5,3,No,Low,51,MEDIUM
34,Running,5,0,1,Yes,Medium,82,HIGH
16,Running,7,3,2,No,Low,50,MEDIUM
37,Soccer,7,8,4,Yes,Low,81,HIGH
37,Cricket,5,6,5,Yes,High,73,HIGH
23,Soccer,7,0,0,No,Medium,60,MEDIUM
32,Running,3,6,5,No,High,50,MEDIUM
29,Basketball,6,8,5,No,Medium,70,HIGH
36,Running,6,3,4,No,Low,56,MEDIUM
31,Weightlifting,6,5,0,No,Medium,88,HIGH
23,Basketball,6,9,1,No,Medium,82,HIGH
24,Weightlifting,7,6,5,No,Medium,56,MEDIUM
37,Basketball,5,8,0,No,Medium,87,HIGH
14,Running,2,1,2,No,Medium,46,MEDIUM
29,Running,1,4,4,No,Low,27,LOW
18,Soccer,1,2,1,No,Medium,50,MEDIUM
